,Unnamed: 0,Title,male,female,age_10대,age_20대,age_30대,age_40대,age_50대
0,0,연극 〈운빨로맨스〉- 대학로,0.38,0.62,1,0,0,0,0
1,1,(리얼타임 코믹연극) 택시안에서 - 서울,0.437,0.563,0,1,0,0,0
2,2,(코믹연극) 달동네-부산,0.432,0.568,0,0,0,1,0
3,3,10년 연속 1위 연극〈옥탑방고양이〉- 틴틴홀,0.403,0.597,0,1,0,0,0
4,4,2023 연극 〈친정엄마와 2박 3일〉 - 고양,0.169,0.831,0,0,1,0,0
5,5,2시간탈출 졸탄쇼,0.347,0.695,0,0,0,0,1
6,6,4D공포연극 〈스위치〉,0.305,0.695,0,1,0,0,0
7,7,★평점9.5★ 코미디의맛/쇼미더퍼니,0.379,0.621,0,0,0,0,1
8,8,공포연극 조각,0.327,0.673,0,0,0,1,0
9,9,공포연극 ［자취］,0.354,0.646,0,1,0,0,0
10,10,괴물B,0.196,0.804,0,0,0,1,0
11,11,국민 코믹 연극 〈오백에삼십〉 - 대학로 세우아트센터 1관,0.335,0.665,0,0,0,0,1
12,12,대학로 1위 연극 〈쉬어매드니스〉,0.261,0.739,0,0,0,1,0
13,13,러브 앤 인포메이션,0.22,0.78,0,0,0,0,1
14,14,메이드 인 제인,0.215,785.0,0,1,0,0,0
15,15,뮤직드라마 〈불편한 편의점〉,0.232,0.768,0,0,0,1,0
16,16,연극 〈굿닥터〉,0.276,0.724,1,0,0,0,0
17,17,연극 〈극적인 하룻밤〉,0.404,0.596,0,0,0,1,0
18,18,연극 〈기형도 플레이〉,0.078,0.922,0,0,0,0,1
19,19,연극 〈나의PS파트너〉,0.424,0.576,0,1,0,0,0
20,20,연극 〈바닷마을 다이어리〉,0.347,0.653,0,0,0,1,0
21,21,연극 〈뷰티풀라이프〉,0.36,0.64,0,0,1,0,0
22,22,연극 〈수상한흥신소〉,0.286,0.714,0,0,0,0,1
23,23,연극 〈슈만〉,0.199,0.801,0,0,1,0,0
24,24,연극 〈카페 쥬에네스〉,0.085,0.915,1,0,0,0,0
25,25,연극 너의 목소리가 들려,0.324,0.676,0,0,0,0,1
26,26,연극 죽여주는 이야기,0.146,0.854,0,0,0,0,1
27,27,연극 한뼘사이,0.441,0.559,1,0,0,0,0
28,28,연극 핫식스,0.343,0.657,0,1,0,0,0
29,29,연극〈늘근도둑이야기〉,0.303,0.697,1,0,0,0,0
30,30,이머시브씨어터 카지노,0.117,0.883,0,0,1,0,0
31,31,"제6회 1번출구 연극제 〈월드다방〉, 〈#정답을작성해주세요〉, 〈순례네 국밥〉",0.344,0.656,0,0,1,0,0
32,32,좀비연극 오마이갓,0.292,0.708,1,0,0,0,0
33,33,진짜나쁜소녀,0.296,0.704,0,0,0,1,0
34,34,코미디 연극〈딜리버리〉,0.373,0.627,0,0,0,0,1
35,35,코믹감동 휴먼판타지 연극 〈2호선 세입자〉,0.305,0.695,0,0,0,0,1
36,36,행오버,0.322,0.678,0,0,0,1,0
37,37,［2023 SPAF］ SPAF 연극 패키지,0.111,0.889,1,0,0,0,0
38,38,［2023 SPAF］ SPAF 하마티아 3부작 패키지,0.167,0.833,0,0,1,0,0
39,39,［2023 SPAF］ 거인아트랩 〈인.투〉,0.182,0.818,0,0,0,1,0
40,40,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 롤링 앤 롤링〉,0.157,0.843,0,0,1,0,0
41,41,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 쿠쿠〉,0.205,0.795,0,0,0,0,1
42,42,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 한국 연극의 역사〉,0.202,0.798,0,0,0,0,1
43,43,［2023 SPAF］ 극단 골목길 〈이장〉,0.244,0.756,0,1,0,0,0
44,44,［2023 SPAF］ 극단 돌파구 〈지상의 여자들〉,0.2,0.8,0,0,0,0,1
45,45,［2023 SPAF］ 데드센터 〈베케트의 방〉,0.165,0.835,0,0,0,0,1
46,46,［2023 SPAF］ 연극연습 프로젝트 〈연극연습3. 극작 연습-물고기로 죽기〉,0.145,0.855,0,0,1,0,0
47,47,"［2023 SPAF］ 작당모의 〈싸움의 기술, 〈졸〉_2.0〉",0.259,0.741,0,1,0,0,0
48,48,［2023 SPAF］ 지연X전환 〈에너지_보이지 않는 언어〉,0.293,0.707,1,0,0,0,0
49,49,［2023 SPAF］ 파이브 아트 센터 〈노셔널 히스토리〉,0.196,0.804,1,0,0,0,0
50,50,［2023’셀러브리티 로코연극］러브액츄얼리 첫번째사연_크리스마스 특별공연 - 부산,1.0,0.0,0,1,0,0,0
51,51,［서울 대학로］연극 라면,0.348,0.652,0,0,0,0,1
52,52,［연극 on stage］ 99% - 화성,0.25,0.75,0,0,0,1,0
53,53,［연극 on stage］ 띨뿌리 - 화성,0.429,0.571,0,0,1,0,0
54,54,［연애하기 좋은 날 : 당근거래］ - 전주,0.515,0.485,0,1,0,0,0
55,55,［장애인 선예매］ 러브 앤 인포메이션,0.0,1.0,0,0,1,0,0
56,56,대학로 청소년연극 〈사춘기메들리〉,0.321,0.679,0,0,0,0,1
57,57,로맨틱코미디 〈슬기로운 신혼생활〉,0.375,0.625,0,0,0,1,0
58,58,공포스릴러연극〈두여자〉- 대구,0.424,0.576,0,0,0,1,0
59,59,모든 날 모든 순간,0.102,0.898,0,0,0,0,1
60,60,나의 장례식에 와줘,0.286,0.714,0,0,1,0,0
61,61,3대가 웃고 우는 연극 〈염쟁이 유씨〉,0.286,0.714,0,1,0,0,0
62,62,그곳에 있었다,0.543,0.457,1,0,0,0,0
63,63,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 – 대학로,0.441,0.559,0,0,0,0,1
